Course.Title,Course.Number,Student.Enrollment,A,B,C,D,F,W,Avg.GPA,Subject,Links
Introduction to Meteorology,ATMS 100,7627,52%,38%,7%,2%,1%,0%,3.35,ATMS,https://courses.illinois.edu/schedule/2018/fall/ATMS/100
Severe and Hazardous Weather,ATMS 120,12085,86%,10%,2%,1%,1%,0%,3.8,ATMS,https://courses.illinois.edu/schedule/2018/fall/ATMS/120
Climate and Global Change,ATMS 140,1173,51%,35%,9%,2%,2%,1%,3.31,ATMS,https://courses.illinois.edu/schedule/2018/fall/ATMS/140
General Physical Meteorology,ATMS 201,589,85%,10%,3%,1%,2%,0%,3.73,ATMS,https://courses.illinois.edu/schedule/2018/fall/ATMS/201
Intro to Geosciences Computing,ATMS 205,23,70%,30%,0%,0%,0%,0%,3.68,ATMS,https://courses.illinois.edu/schedule/2018/fall/ATMS/205
Atmospheric Dynamics I,ATMS 302,271,27%,38%,19%,9%,4%,2%,2.76,ATMS,https://courses.illinois.edu/schedule/2018/fall/ATMS/302
Synoptic-Dynamic Wea Analysis,ATMS 303,184,34%,40%,12%,7%,5%,2%,2.91,ATMS,https://courses.illinois.edu/schedule/2018/fall/ATMS/303
Earth Systems Modeling,ATMS 421,51,73%,18%,6%,2%,2%,0%,3.55,ATMS,https://courses.illinois.edu/schedule/2018/fall/ATMS/421
Business in Action,BADM 199,27,93%,7%,0%,0%,0%,0%,3.91,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/199
Honors Seminar,BADM 199,35,94%,6%,0%,0%,0%,0%,3.94,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/199
The Legal Environment of Bus,BADM 300,7593,48%,33%,14%,4%,1%,0%,3.22,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/300
Mgmt and Organizational Beh,BADM 310,9552,58%,31%,9%,2%,0%,0%,3.41,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/310
Individual Behavior in Orgs,BADM 311,1128,59%,38%,3%,0%,0%,0%,3.52,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/311
Org Design and Environment,BADM 312,762,53%,39%,7%,1%,0%,0%,3.42,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/312
Human Resource Management,BADM 313,565,57%,36%,6%,0%,0%,0%,3.42,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/313
Leading Negotiations,BADM 314,186,38%,58%,3%,1%,1%,0%,3.3,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/314
Principles of Marketing,BADM 320,10972,76%,19%,4%,1%,0%,0%,3.66,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/320
Principles of Retailing,BADM 321,432,71%,23%,3%,2%,0%,0%,3.58,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/321
Marketing Research,BADM 322,1300,59%,34%,6%,1%,0%,0%,3.47,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/322
Marketing Communications,BADM 323,473,81%,17%,2%,0%,0%,0%,3.66,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/323
Consumer Behavior,BADM 325,1310,75%,21%,3%,0%,0%,0%,3.66,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/325
Marketing to Business and Govt,BADM 327,372,75%,22%,2%,1%,0%,0%,3.72,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/327
New Product Development,BADM 329,1494,66%,32%,1%,0%,0%,0%,3.6,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/329
Supply Chain Management Basics,BADM 335,372,64%,34%,2%,0%,0%,0%,3.57,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/335
Modeling the Supply Chain,BADM 336,356,54%,43%,4%,0%,0%,0%,3.5,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/336
Ethical Dilemmas of Business,BADM 340,531,69%,26%,3%,0%,0%,0%,3.64,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/340
IT for Networked Organizations,BADM 350,2924,65%,29%,5%,1%,0%,0%,3.54,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/350
Social Media Strategy,BADM 351,655,86%,13%,1%,0%,0%,0%,3.77,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/351
Info Sys Analysis and Design,BADM 353,527,63%,35%,2%,0%,0%,0%,3.59,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/353
New Product Marketing,BADM 365,125,94%,6%,0%,0%,0%,0%,3.83,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/365
Mgmt of Innov and Technology,BADM 367,490,75%,25%,0%,0%,0%,0%,3.71,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/367
Management Decision Models,BADM 374,1286,52%,37%,8%,2%,1%,1%,3.37,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/374
Business Process Management,BADM 375,2111,45%,41%,11%,2%,1%,1%,3.27,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/375
Logistics Management,BADM 378,556,37%,45%,10%,6%,1%,1%,3.12,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/378
International Business,BADM 380,1857,73%,24%,2%,1%,0%,0%,3.64,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/380
Multinational Management,BADM 381,1011,76%,23%,1%,0%,0%,0%,3.73,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/381
International Marketing,BADM 382,621,75%,22%,2%,1%,0%,0%,3.66,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/382
Data Science & Analytics,BADM 395,300,93%,7%,0%,0%,0%,0%,3.88,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/395
Principles of Business Law,BADM 403,734,60%,26%,8%,4%,1%,0%,3.37,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/403
Small Business Consulting,BADM 445,613,76%,23%,0%,0%,0%,0%,3.73,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/445
Business Policy and Strategy,BADM 449,6030,71%,26%,3%,0%,0%,0%,3.62,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/449
Decision Support Systems,BADM 453,306,83%,16%,0%,0%,0%,0%,3.78,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/453
Business Process Modeling,BADM 460,399,62%,35%,3%,0%,0%,0%,3.57,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/460
Leadership and Teams,BADM 508,1726,61%,37%,1%,0%,0%,0%,3.54,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/508
Managing Organizations,BADM 509,691,64%,35%,1%,0%,0%,0%,3.59,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/509
Managing Innovation,BADM 514,811,69%,30%,1%,0%,0%,0%,3.65,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/514
Marketing Management,BADM 520,1963,77%,22%,0%,0%,0%,0%,3.71,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/520
Promotional Strategy,BADM 528,131,79%,20%,1%,0%,0%,0%,3.66,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/528
Sustain Design & Enterprise I,BADM 532,23,96%,4%,0%,0%,0%,0%,3.94,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/532
Frontiers in Technology,BADM 540,202,93%,6%,1%,0%,0%,0%,3.91,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/540
Enterprise Database Management,BADM 554,196,42%,49%,9%,0%,0%,0%,3.32,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/554
Supply Chain Management,BADM 566,768,60%,28%,8%,4%,0%,0%,3.37,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/566
Process Management,BADM 567,2900,62%,35%,2%,0%,0%,0%,3.56,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/567
Stat for Mgt Decision Making,BADM 572,1308,74%,22%,3%,0%,1%,0%,3.66,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/572
Intl Comparative Management,BADM 586,323,93%,6%,0%,0%,0%,0%,3.9,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/586
Entrepreneurship,BADM 590,493,73%,17%,5%,3%,1%,0%,3.54,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/590
Glbl Impct:CulPsych&BusEthics,BADM 590,108,94%,6%,0%,0%,0%,0%,3.91,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/590
Marketing in an Analog World,BADM 590,251,73%,24%,3%,0%,0%,0%,3.65,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/590
Entrep: From Startup to Growth,BADM 590,239,89%,10%,0%,0%,0%,0%,3.84,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/590
Economics of Organizations,BADM 590,199,58%,41%,2%,0%,0%,0%,3.54,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/590
Analytics,BADM 590,61,95%,5%,0%,0%,0%,0%,3.86,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/590
Global Strategy,BADM 590,853,77%,21%,1%,0%,0%,0%,3.73,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/590
Digital Marketing,BADM 590,69,75%,22%,1%,1%,0%,0%,3.65,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/590
Big Data,BADM 590,70,77%,23%,0%,0%,0%,0%,3.71,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/590
Strategic Human Capital,BADM 590,164,75%,25%,0%,0%,0%,0%,3.72,BADM,https://courses.illinois.edu/schedule/2018/fall/BADM/590
South Slavic Cultures,BCS 115,288,81%,13%,6%,1%,0%,0%,3.72,BCS,https://courses.illinois.edu/schedule/2018/fall/BCS/115
Biochemistry Senior Seminar,BIOC 460,99,48%,44%,7%,0%,0%,0%,3.38,BIOC,https://courses.illinois.edu/schedule/2018/fall/BIOC/460
Introduction to Bioengineering,BIOE 120,549,91%,7%,1%,0%,1%,0%,3.82,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/120
Conservation Principles Bioeng,BIOE 201,507,78%,20%,2%,0%,0%,0%,3.71,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/201
Cell & Tissue Engineering Lab,BIOE 202,335,51%,43%,4%,1%,1%,0%,3.39,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/202
Cellular Bioengineering,BIOE 206,455,40%,40%,16%,2%,1%,0%,3.12,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/206
Bioenergetics,BIOE 220,267,64%,33%,3%,0%,0%,0%,3.57,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/220
Modeling Human Physiology,BIOE 302,399,55%,36%,8%,2%,0%,0%,3.45,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/302
Quantitative Physiology Lab,BIOE 303,274,82%,18%,0%,0%,0%,0%,3.83,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/303
Biomedical Instrumentation,BIOE 414,774,44%,42%,10%,3%,1%,0%,3.24,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/414
Biomedical Instrumentation Lab,BIOE 415,400,73%,24%,2%,0%,1%,0%,3.64,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/415
Intro Synthetic Biology,BIOE 430,54,78%,22%,0%,0%,0%,0%,3.73,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/430
Senior Design I,BIOE 435,148,94%,6%,0%,0%,0%,0%,3.93,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/435
Tissue Engineering,BIOE 476,614,64%,32%,3%,0%,0%,0%,3.55,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/476
Preclinical Molecular Imaging,BIOE 498,61,85%,15%,0%,0%,0%,0%,3.84,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/498
Managing Business Operations,BIOE 573,27,30%,56%,15%,0%,0%,0%,3.23,BIOE,https://courses.illinois.edu/schedule/2018/fall/BIOE/573
Principles Bus Comm,BTW 250,8685,67%,28%,3%,1%,1%,0%,3.56,BTW,https://courses.illinois.edu/schedule/2018/fall/BTW/250
Principles Tech Comm,BTW 261,990,73%,22%,2%,1%,1%,0%,3.64,BTW,https://courses.illinois.edu/schedule/2018/fall/BTW/261
Persuasive Writing,BTW 271,135,71%,26%,3%,0%,0%,0%,3.67,BTW,https://courses.illinois.edu/schedule/2018/fall/BTW/271
Business Prof Responsibility,BUS 101,5437,88%,11%,1%,0%,0%,0%,3.82,BUS,https://courses.illinois.edu/schedule/2018/fall/BUS/101
Business Honors Seminar,BUS 120,180,95%,4%,1%,0%,1%,0%,3.91,BUS,https://courses.illinois.edu/schedule/2018/fall/BUS/120
Coaching for Success,BUS 199,111,96%,4%,0%,0%,0%,0%,3.96,BUS,https://courses.illinois.edu/schedule/2018/fall/BUS/199
About Civil Engineering,CEE 195,2227,80%,19%,1%,0%,0%,0%,3.74,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/195
Systems Engrg & Economics,CEE 201,1740,37%,42%,16%,3%,1%,0%,3.1,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/201
Engineering Risk & Uncertainty,CEE 202,1810,39%,39%,15%,5%,1%,1%,3.09,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/202
Behavior of Materials,CEE 300,1481,20%,62%,16%,1%,1%,0%,2.98,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/300
Transportation Engineering,CEE 310,1369,35%,46%,16%,2%,1%,0%,3.09,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/310
Construction Engineering,CEE 320,1597,55%,40%,4%,0%,0%,0%,3.44,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/320
Environmental Engineering,CEE 330,2071,53%,40%,6%,1%,0%,0%,3.42,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/330
Energy and Global Environment,CEE 340,174,39%,57%,3%,0%,0%,1%,3.37,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/340
Water Resources Engineering,CEE 350,632,57%,34%,8%,1%,0%,0%,3.47,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/350
Structural Engineering,CEE 360,1537,35%,39%,17%,6%,4%,1%,2.93,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/360
Geotechnical Engineering,CEE 380,1580,25%,46%,19%,7%,2%,0%,2.85,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/380
Pavement Design I,CEE 406,407,41%,39%,14%,4%,2%,0%,3.1,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/406
Railroad Transportation Engrg,CEE 408,308,35%,51%,13%,1%,0%,0%,3.21,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/408
Railroad Track Engineering,CEE 409,268,60%,29%,9%,0%,0%,0%,3.43,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/409
Traffic Capacity Analysis,CEE 416,371,36%,50%,13%,1%,0%,0%,3.18,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/416
Construction Planning,CEE 421,1558,66%,27%,6%,0%,0%,0%,3.51,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/421
Construction Cost Analysis,CEE 422,1251,48%,47%,4%,0%,0%,0%,3.4,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/422
Stream Ecology,CEE 432,58,71%,28%,2%,0%,0%,0%,3.71,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/432
Environmental Systems I,CEE 434,338,72%,21%,5%,1%,1%,1%,3.62,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/434
Water Quality Engineering,CEE 437,490,46%,45%,7%,1%,1%,0%,3.32,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/437
"Env Eng Principles, Physical",CEE 442,323,71%,26%,2%,1%,0%,0%,3.62,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/442
"Env Eng Principles, Chemical",CEE 443,317,50%,40%,8%,1%,1%,1%,3.33,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/443
Surface Hydrology,CEE 450,318,75%,21%,2%,2%,0%,0%,3.66,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/450
Groundwater,CEE 457,346,45%,38%,16%,0%,0%,1%,3.3,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/457
Steel Structures I,CEE 460,1026,51%,34%,12%,2%,0%,0%,3.31,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/460
Reinforced Concrete I,CEE 461,1154,37%,42%,18%,2%,0%,0%,3.12,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/461
Reinforced Concrete II,CEE 463,555,55%,39%,5%,1%,0%,0%,3.48,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/463
Structural Analysis,CEE 470,974,40%,43%,15%,2%,1%,0%,3.2,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/470
Structural Mechanics,CEE 471,641,32%,55%,9%,3%,1%,0%,3.15,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/471
Structural Dynamics I,CEE 472,680,55%,40%,5%,0%,0%,0%,3.49,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/472
Soil Mechanics and Behavior,CEE 483,360,43%,26%,26%,4%,1%,0%,3.04,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/483
Decision and Risk Analysis,CEE 491,316,59%,28%,8%,1%,3%,0%,3.35,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/491
Sustainable Design Eng Tech,CEE 493,85,93%,7%,0%,0%,0%,0%,3.88,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/493
Constr Equipment and Methods,CEE 498,145,93%,6%,1%,0%,0%,0%,3.86,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/498
Wind Engineering,CEE 498,37,57%,43%,0%,0%,0%,0%,3.59,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/498
Pavement Evaluation and Rehab,CEE 508,125,54%,42%,3%,0%,0%,0%,3.49,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/508
Construction Case Studies,CEE 525,404,82%,17%,1%,0%,0%,0%,3.73,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/525
Water Quality Control Proc I,CEE 537,211,52%,45%,3%,0%,0%,0%,3.47,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/537
Geotechnical Field Measurement,CEE 590,48,52%,46%,0%,2%,0%,0%,3.45,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/590
Globalization of Water,CEE 598,21,95%,5%,0%,0%,0%,0%,3.95,CEE,https://courses.illinois.edu/schedule/2018/fall/CEE/598
Principles of CHE,CHBE 221,1883,19%,32%,38%,7%,3%,1%,2.57,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/221
Thermodynamics,CHBE 321,5084,34%,41%,19%,4%,3%,1%,2.98,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/321
Momentum and Heat Transfer,CHBE 421,1562,25%,31%,36%,5%,2%,1%,2.72,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/421
Mass Transfer Operations,CHBE 422,1190,28%,36%,28%,5%,3%,0%,2.79,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/422
Chemical Reaction Engineering,CHBE 424,1113,32%,32%,28%,5%,2%,1%,2.86,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/424
Unit Operations Laboratory,CHBE 430,1029,23%,63%,13%,0%,0%,0%,3.06,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/430
Process Design,CHBE 431,1055,27%,49%,22%,1%,1%,0%,3.01,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/431
Process Control and Dynamics,CHBE 440,1156,35%,42%,20%,3%,0%,0%,3.08,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/440
Polymer Synthesis,CHBE 455,58,33%,48%,16%,2%,2%,0%,3.04,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/455
Microelectronics Processing,CHBE 457,148,34%,31%,30%,2%,3%,0%,2.89,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/457
Bioenergy Technology,CHBE 478,101,30%,49%,14%,7%,0%,1%,3.04,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/478
Comp Methods in Chem Engr,CHBE 494,69,83%,14%,3%,0%,0%,0%,3.75,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/494
Applied Mathematics in CHBE,CHBE 521,133,59%,39%,1%,0%,1%,0%,3.54,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/521
Stat Thermo Chem Eng,CHBE 525,21,57%,38%,0%,0%,5%,0%,3.4,CHBE,https://courses.illinois.edu/schedule/2018/fall/CHBE/525
Introductory Chemistry,CHEM 101,6759,22%,41%,27%,7%,3%,1%,2.72,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/101
General Chemistry I,CHEM 102,26145,16%,34%,34%,12%,3%,1%,2.45,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/102
General Chemistry Lab I,CHEM 103,26212,69%,21%,6%,2%,2%,0%,3.52,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/103
General Chemistry II,CHEM 104,14465,20%,35%,35%,8%,2%,1%,2.61,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/104
General Chemistry Lab II,CHEM 105,14492,67%,23%,7%,2%,1%,0%,3.51,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/105
Accelerated Chemistry I,CHEM 202,2386,22%,37%,32%,6%,3%,1%,2.68,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/202
Accelerated Chemistry Lab I,CHEM 203,2355,33%,47%,15%,2%,2%,1%,3.06,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/203
Quantitative Analysis Lecture,CHEM 222,884,63%,28%,7%,1%,0%,1%,3.52,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/222
Quantitative Analysis Lab,CHEM 223,713,34%,46%,15%,2%,1%,1%,3.13,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/223
Elementary Organic Chemistry I,CHEM 232,10031,21%,36%,31%,10%,2%,1%,2.62,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/232
Elementary Organic Chem Lab I,CHEM 233,7999,40%,44%,14%,1%,1%,0%,3.2,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/233
Fundamental Organic Chem I,CHEM 236,2153,28%,35%,29%,4%,3%,1%,2.8,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/236
Structure and Synthesis,CHEM 237,2000,26%,41%,28%,3%,1%,1%,2.87,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/237
Inorganic Chemistry,CHEM 312,1122,30%,39%,20%,8%,2%,1%,2.85,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/312
Instrumental Chem Systems Lab,CHEM 315,1425,32%,40%,22%,3%,2%,0%,2.98,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/315
Inorganic Chemistry Lab,CHEM 317,303,45%,41%,14%,0%,0%,0%,3.29,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/317
Elementary Organic Chem II,CHEM 332,3923,29%,35%,22%,9%,3%,1%,2.76,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/332
Instrumental Characterization,CHEM 420,1605,30%,40%,24%,4%,1%,0%,2.93,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/420
Physical Chemistry Principles,CHEM 440,1176,38%,46%,14%,2%,1%,0%,3.17,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/440
Physical Chemistry I,CHEM 442,1657,44%,39%,13%,2%,2%,0%,3.19,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/442
Physical Organic Chemistry,CHEM 532,324,48%,50%,1%,0%,0%,0%,3.47,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/532
Quantum Mechanics,CHEM 540,46,54%,43%,2%,0%,0%,0%,3.51,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/540
Statistical Thermodynamics,CHEM 544,174,60%,39%,1%,0%,0%,0%,3.57,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/544
Concepts in Chemical Biology,CHEM 570,174,55%,45%,1%,0%,0%,0%,3.5,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/570
Introduction to Materials Chem,CHEM 584,295,60%,38%,1%,1%,0%,0%,3.55,CHEM,https://courses.illinois.edu/schedule/2018/fall/CHEM/584
Contemporary Health,CHLH 100,5512,63%,27%,7%,2%,1%,0%,3.46,CHLH,https://courses.illinois.edu/schedule/2018/fall/CHLH/100
Introduction to Public Health,CHLH 101,6559,54%,34%,9%,2%,1%,0%,3.34,CHLH,https://courses.illinois.edu/schedule/2018/fall/CHLH/101
Orientation KIN & Comm Health,CHLH 125,1442,90%,7%,2%,1%,1%,0%,3.84,CHLH,https://courses.illinois.edu/schedule/2018/fall/CHLH/125
Campus Acq Rape Educ (CARE),CHLH 199,265,77%,18%,4%,0%,1%,0%,3.63,CHLH,https://courses.illinois.edu/schedule/2018/fall/CHLH/199
Mental Health,CHLH 200,1383,59%,30%,9%,2%,1%,0%,3.44,CHLH,https://courses.illinois.edu/schedule/2018/fall/CHLH/200
Public Health Research Methods,CHLH 201,30,73%,20%,0%,3%,3%,0%,3.49,CHLH,https://courses.illinois.edu/schedule/2018/fall/CHLH/201
Human Sexuality,CHLH 206,10713,57%,28%,9%,3%,2%,0%,3.32,CHLH,https://courses.illinois.edu/schedule/2018/fall/CHLH/206
Community Health Organizations,CHLH 210,1905,72%,23%,4%,1%,0%,0%,3.63,CHLH,https://courses.illinois.edu/schedule/2018/fall/CHLH/210
Drug Use and Abuse,CHLH 243,11107,70%,22%,6%,1%,1%,0%,3.56,CHLH,https://courses.illinois.edu/schedule/2018/fall/CHLH/243
Health Care Systems,CHLH 250,2221,69%,24%,6%,1%,0%,0%,3.57,CHLH,https://courses.illinois.edu/schedule/2018/fall/CHLH/250
Introduction to Medical Ethics,CHLH 260,2504,69%,24%,5%,1%,0%,0%,3.59,CHLH,https://courses.illinois.edu/schedule/2018/fall/CHLH/260
Introduction to Epidemiology,CHLH 274,2823,46%,34%,14%,4%,2%,0%,3.14,CHLH,https://courses.illinois.edu/schedule/2018/fall/CHLH/274
